iter	Passed	Remaining
0	144	144639
1	145	72515
2	145	48459
3	146	36463
4	146	29240
5	147	24422
6	147	20983
7	148	18402
8	148	16394
9	149	14786
10	149	13471
11	150	12376
12	150	11454
13	151	10662
14	151	9976
15	152	9373
16	152	8841
17	153	8367
18	153	7943
19	154	7562
20	154	7219
21	155	6906
22	155	6619
23	156	6356
24	156	6115
25	157	5891
26	157	5685
27	158	5492
28	158	5314
29	159	5147
30	159	4991
31	160	4848
32	160	4710
33	161	4580
34	161	4458
35	162	4343
36	162	4237
37	163	4134
38	163	4035
39	164	3942
40	164	3854
41	165	3770
42	165	3690
43	166	3613
44	166	3540
45	167	3469
46	167	3401
47	168	3337
48	168	3274
49	169	3215
50	169	3158
51	170	3102
52	170	3049
53	171	2998
54	171	2949
55	172	2901
56	172	2855
57	173	2811
58	173	2768
59	174	2727
60	174	2687
61	175	2648
62	175	2610
63	176	2574
64	176	2538
65	176	2504
66	177	2471
67	177	2436
68	178	2406
69	178	2376
70	179	2348
71	180	2320
72	180	2293
73	181	2267
74	181	2244
75	182	2219
76	183	2195
77	183	2171
78	184	2147
79	184	2124
80	185	2102
81	186	2082
82	186	2062
83	187	2041
84	187	2018
85	188	1999
86	188	1978
87	189	1959
88	189	1941
89	190	1923
90	190	1906
91	191	1890
92	192	1872
93	192	1855
94	193	1840
95	193	1824
96	194	1809
97	194	1794
98	195	1779
99	196	1764
100	196	1750
101	196	1734
102	197	1720
103	198	1705
104	198	1691
105	198	1677
106	199	1664
107	199	1650
108	200	1637
109	200	1625
110	201	1612
111	201	1599
112	202	1587
113	202	1575
114	203	1563
115	203	1551
116	204	1540
117	204	1529
118	205	1517
119	205	1507
120	206	1496
121	206	1485
122	206	1474
123	207	1463
124	207	1453
125	208	1443
126	208	1433
127	208	1423
128	209	1413
129	209	1404
130	210	1395
131	210	1386
132	211	1377
133	211	1368
134	212	1360
135	212	1351
136	213	1343
137	213	1334
138	214	1326
139	214	1317
140	215	1309
141	215	1301
142	215	1294
143	216	1286
144	216	1278
145	217	1271
146	217	1264
147	218	1256
148	218	1249
149	219	1242
150	219	1236
151	220	1229
152	220	1222
153	221	1216
154	221	1209
155	222	1202
156	222	1196
157	223	1189
158	223	1183
159	224	1176
160	224	1170
161	225	1164
162	225	1158
163	226	1152
164	226	1146
165	227	1140
166	227	1134
167	227	1129
168	228	1123
169	228	1117
170	229	1112
171	229	1106
172	230	1101
173	230	1095
174	231	1090
175	231	1085
176	232	1079
177	232	1074
178	233	1070
179	233	1065
180	234	1059
181	234	1054
182	235	1050
183	235	1045
184	236	1040
185	236	1035
186	237	1030
187	237	1026
188	238	1021
189	238	1016
190	238	1012
191	239	1007
192	239	1003
193	240	998
194	240	994
195	241	990
196	241	985
197	242	981
198	242	977
199	243	972
200	243	968
201	244	964
202	244	960
203	245	956
204	245	952
205	246	948
206	246	944
207	246	940
208	247	936
209	247	932
210	248	929
211	248	925
212	249	921
213	249	917
214	250	914
215	250	910
216	251	906
217	251	903
218	252	899
219	252	896
220	253	892
221	253	888
222	254	885
223	254	881
224	255	878
225	255	875
226	255	871
227	256	868
228	256	864
229	257	861
230	257	858
231	258	855
232	258	851
233	259	848
234	259	845
235	260	842
236	260	839
237	261	836
238	261	833
239	262	830
240	262	827
241	263	824
242	263	821
243	264	818
244	264	815
245	265	812
246	265	809
247	265	806
248	266	803
249	266	800
250	267	797
251	267	795
252	268	792
253	268	789
254	269	786
255	269	783
256	270	781
257	270	778
258	271	775
259	271	772
260	272	770
261	272	767
262	272	764
263	273	762
264	273	759
265	274	757
266	274	754
267	275	752
268	275	749
269	276	746
270	276	744
271	277	742
272	277	739
273	278	737
274	278	734
275	279	732
276	279	730
277	280	727
278	280	725
279	281	723
280	281	721
281	282	718
282	282	716
283	283	714
284	283	711
285	284	709
286	284	707
287	285	705
288	285	702
289	286	700
290	286	698
291	287	696
292	287	693
293	288	691
294	288	689
295	288	687
296	289	685
297	289	682
298	290	680
299	290	678
300	291	676
301	291	674
302	292	672
303	292	670
304	293	668
305	294	667
306	294	665
307	295	663
308	295	661
309	296	659
310	296	657
311	297	655
312	297	653
313	298	651
314	298	649
315	299	647
316	299	645
317	300	643
318	300	641
319	301	639
320	301	637
321	301	635
322	302	633
323	302	631
324	303	629
325	303	628
326	304	626
327	304	624
328	305	622
329	305	620
330	306	618
331	306	617
332	307	615
333	308	614
334	308	612
335	309	611
336	310	609
337	310	608
338	311	606
339	311	605
340	312	603
341	312	601
342	313	600
343	313	598
344	314	597
345	315	595
346	315	594
347	316	592
348	316	590
349	317	589
350	317	587
351	318	586
352	318	584
353	319	582
354	319	581
355	320	579
356	321	578
357	321	576
358	322	575
359	323	574
360	323	572
361	324	571
362	324	569
363	325	568
364	325	566
365	326	565
366	326	563
367	327	561
368	327	560
369	328	558
370	328	557
371	329	555
372	329	554
373	330	552
374	330	550
375	331	549
376	331	547
377	331	546
378	332	544
379	332	543
380	333	541
381	333	540
382	334	538
383	334	536
384	335	535
385	335	533
386	336	532
387	336	531
388	337	529
389	337	528
390	338	527
391	338	525
392	339	524
393	339	522
394	340	521
395	340	519
396	341	518
397	341	516
398	342	515
399	342	514
400	343	512
401	343	511
402	344	509
403	344	508
404	345	507
405	345	505
406	346	504
407	346	502
408	347	501
409	347	500
410	347	498
411	348	497
412	348	495
413	349	494
414	349	493
415	350	491
416	350	490
417	351	489
418	351	487
419	352	486
420	352	485
421	353	484
422	353	482
423	354	481
424	354	480
425	355	478
426	355	477
427	356	476
